source_name,url,species,modality,label_types,file_format,approx_size,access_method,license,usefulness,notes
Roboflow — Bovine Sperm Cells Test,https://universe.roboflow.com/boarspermmorphology/bovine-sperm-cells-test,bovine,images + YOLO annotations,"9 classes: normal, agglutination, coiled-tail, dirt-particles, distal-droplet, folded-tail, loose-head, loose-tail, proximal-droplet",YOLO/COCO/VOC export,"277 images, 11 dataset versions",Roboflow API (free account),CC BY 4.0,production_candidate,BEST bovine source. 9 morphology classes mapping to standard defects. Same user has boar dataset.
Roboflow — LPDS Sperm Bovine,https://universe.roboflow.com/amostras-bovinas/lpds-sperm-bovine,bovine,images + annotations,"3 classes: e_transversal, erro, mitocondria",YOLO/COCO export,99 images,Roboflow API,CC BY 4.0,prototype_candidate,Small. Portuguese labels (Brazilian origin). Structural defect focus.
Figshare — CASA Indices Cloned Bulls,https://figshare.com/articles/dataset/CASA_indices_in_frozen-thawed_semen_of_cloned_bulls_and_donors_/12816735,bovine,tabular (CASA parameters),"VCL, VSL, VAP, LIN, STR, WOB, ALH, BCF",xlsx,small,direct download,journal-linked,reference_only,CASA kinematic data for cloned bulls. Useful for validating CASA computation.
GitHub — YOLO-BullSperm-detection,https://github.com/Gombessa1938/YOLO-BullSperm-detection,bovine,code (YOLOv5),bull sperm morphology detection,Python,WIP,git clone,unknown,prototype_candidate,Directly targets bull sperm with YOLO. May have training configs.
OpenCASA,https://github.com/calquezar/OpenCASA,multi-species,software (Java/ImageJ plugin),"motility, morphometry, concentration, viability, chemotaxis",ImageJ plugin (AVI/JPEG/PNG input),N/A,git clone,GPL (published in PLOS Computational Biology),production_candidate,Complete open-source CASA tool. 32 stars. Essential reference implementation.
Roboflow — Boar Analysis (13 classes),https://universe.roboflow.com/boarspermmorphology/boar-analisys,boar,images + annotations,"13 classes: Normal, asymmetric insertion, Bent-tail, Coiled-tail, Distal-droplet, etc.",YOLO/COCO export,395 images,Roboflow API,CC BY 4.0,transfer_only,Richest morphology taxonomy of any dataset found. Same user as bovine. Strong transfer candidate.
VISEM-Tracking (Zenodo),https://zenodo.org/records/7293726,human,video frames + tracking annotations,"3 classes: sperm, cluster, small/pinhead",ZIP (6.3 GB),"6.3 GB, 1372 downloads",direct download,"Open access (Scientific Data, Nature 2023)",transfer_only,Gold-standard human tracking dataset. Best for developing motility algorithms.
VISEM Video Dataset (Kaggle),https://www.kaggle.com/datasets/stevenhicks/visem-video-dataset,human,"video + tabular (semen analysis, fatty acids, hormones)","motility grade, concentration, morphology %, volume","AVI (640x480, 50fps) + CSV","35.59 GB, 85 videos",Kaggle download,CC BY-NC 4.0,transfer_only,Richest multimodal sperm dataset. Videos + 6 CSV files. 1117 downloads.
Kaggle — MHSMA (Human Morphology),https://www.kaggle.com/datasets/orvile/mhsma-sperm-morphology-analysis-dataset,human,images (grayscale .npy),"4 binary: acrosome, head, tail, vacuole (normal/abnormal)",".npy (128x128, 64x64)","32 MB, 1540 images",Kaggle download,CC BY-NC 3.0,transfer_only,Most granular morphological sub-labeling of any dataset. Multi-label.
Kaggle — SMIDS (Human Normal/Abnormal/Non-Sperm),https://www.kaggle.com/datasets/orvile/sperm-morphology-image-data-set-smids,human,RGB images,"3 classes: Normal_Sperm (1021), Abnormal_Sperm (1005), Non_Sperm (974)",JPEG in folders,"100 MB, 3000 images",Kaggle download,Other (Mendeley Data origin),transfer_only,Smartphone-acquired. Good for transfer learning on normal/abnormal.
Roboflow — Sperm Detection Full (Human),https://universe.roboflow.com/sperm-analysis/sperm-detection-full,human,images + annotations,"2 classes: sperm, background",YOLO/COCO,"1680 images, 7 trained models",Roboflow API,CC BY 4.0,transfer_only,Large human detection dataset. Pre-training only.
